CollectionID,Patch_Bucket,PlusDays,StartHour,StartMinute,HourDuration,MinuteDuration
COL0040C,MW_2Wed_0000_0400,1,0,0,4,0
COL00408,MW_3Thu_2300_0500,8,23,0,6,0
